abeja	bee
el aguacate	avocado
burro	donkey
arroz	rice
el tomate	tomato
la pimienta	pepper
el huevo	egg
la fruta	fruit
la manzana	apple
la naranja	orange
la platano	banana
la zanahoria	carrot
la patata	potato
frijol	bean
la carne	beef
el chorizo	salami
el cangrejo	crab
el maiz	corn
el pepino	cucumber
el galleta	cookie
el queso	cheese
la cereza	cherry
la coliflor	cauliflower
la harina	flour
la berenjena	eggplant
el huevo frito	fried egg
el tenedor	fork
la miel	honey
el perro caliente	hot dog
la mermelada	jam
la lima	lime
el cuchillo	knife
el pastel	pie
el horno	oven
la sopa	soup
la esponja	sponge
el agua	water
la cantimplora	water bottle
la fresa	strawberry
la cucharita	spoon
la sal	salt
la olla	pot
la nuez	nut
la servilleta	napkin
el horno microondas	microwave oven
la comida	meal
el almuerzo	lunch
el regaliz	licorice
el jugo	juice
el pan de jengibre	gingerbread
la comida	food
la crema	cream
el pollo	chicken
la lata	can
el desayuno	breakfast
el tazon	bowl
la zarzamora	blackberry
la mora	blackberry
la uva	grape
la limon	lemon
el tomatillo	tomatillo
la frutilla	strawberry
