ambicioso	ambitious
pesado	annoying
discutidor	argumentative
malhumorado	bad-tempered
creído, engreído	big-headed
de mala leche, venenoso	bitchy
valiente	brave
cascarrabias	cantankerous
despreocupado	carefree
descuidado, poco cuidadoso	careless
prudente, cauteloso, cauto	cautious
encantador	charming
alegre, jovial	cheerful
presumido	conceited
conservador	conservative
convencional	conventional
cobarde	cowardly
loco	crazy
chiflado	nuts
cruel	cruel
soso	dull
aburrido	boring
coqueta	flirtatious
amigable, simpático, agradable	friendly
generoso	generous
trabajador	hard-working
honesto	honest
amable	kind
tranquilo, relajado	laid-back
perezoso, vago	lazy
fiel	loyal
tacaño	mean
modesto	modest
de humor cambiante	moody
ingenuo, inocentón	naive
malo, travieso	naughty
de actitud abierta, sin prejuicios	open-minded
de mentalidad cerrada, intolerante	narrow-minded
piadoso	pious
cortés, educado	polite
orgulloso	proud
fiable, confiable	reliable
seguro de sí mismo	self-confident
egoísta	selfish
sensato, prudente	sensible
sensible	sensitive
tímido, vergonzoso	shy
introvertido	introverted
estricto, severo, riguroso	strict
terco, testarudo, tozudo	stubborn
comprensivo	sympathetic
conversador, hablador	talkative
digno de confianza	trustworthy
falso	two-faced
raro, extraño	weird
