hasta la vista	see you soon
mucho gusto|mucho gusto encantado|mucho gusto en conocerte	pleased to meet you|nice to meet you
buenos días	good morning
buenas noches	good evening|good night
buenas tardes	good afternoon
adelante	come in
vale	ok
qué bien	how good|how great
suerte|buena suerte	good luck
tráigame	bring me
socorro	help (emergency)
salud	cheers|good health
que pase un buen día	have a nice day
¿De dónde es usted?	Where are you from?
por favor hable más despacio	please speak more slowly
¿Cómo se dice ... en español?	how do you say ... in Spanish?
¿Hablas español?    Do you speak Spanish?
Sí, hablo un poquito de español|Sí, un poco    Yes, a little
buen provecho   bon appetit
¿Puede ayudarme?    Can you help me?
¿Cómo estás?    How are you?
estoy bien  I am good
no estoy bien I am not good
¿Cómo te llamas?    What is your name?
Me llamo ...    My name is ...
