el aguacate	avocado
el arroz	rice
el tomate	tomato
la pimienta	pepper
el huevo	egg
la fruta	fruit
la manzana	apple
la naranja	orange
el platano	banana
la zanahoria	carrot
la patata	potato
la alubia	bean
la carne	beef
el chorizo	salami
el cangrejo	crab
el maiz	corn
el pepino	cucumber
la galleta	cookie
el queso	cheese
la cereza	cherry
la coliflor	cauliflower
la harina	flour
la berenjena	eggplant
el huevo frito	fried egg
el tenedor	fork
la miel	honey
el perro caliente	hot dog
la mermelada	jam
la lima	lime
el cuchillo	knife
el pastel	pie
el horno	oven
la sopa	soup
la esponja	sponge
la agua	water
la cantimplora	water bottle
la fresa,la frutilla	strawberry
la cuchara	spoon
la sal	salt
la olla	pot
la nuez	nut
la servilleta	napkin
el horno microondas	microwave oven
la comida	meal,food
el almuerzo	lunch
el regaliz	licorice
el jugo	juice
el pan de jengibre	gingerbread
la crema	cream
el pollo	chicken
la lata	can
el desayuno	breakfast
el tazon	bowl
la zarzamora,la mora	blackberry
la uva	grape
la limon	lemon
el tomatillo	tomatillo
