estar de acuerdo	agree with
estar a punto de	be about to
regresar	be back
quedarse sin	be out of
terminarse	be over
estar levantado	be up
estallar (una bomba)	blow up (a bomb)
inflar	inflate
averiarse	break down
volver a llamar	call back
seguir, continuar	carry on
cumplir (una promesa)	carry out (a promise)
llevar a cabo	carry out
poner en orden	clear up
dar con	come across
regresar	come back
entrar	come in
vamos	come on
consumir menos	cut down on
desconnectar	cut off
cortar en pedazos	cut up
abrochar	do up
tener algo que ver con	to do with
pasarse sin	do without
pararse	draw up
regresar	get back
entrar	get into
bajar	get off
subir	get on
levantarse	get up
devolver	give back
perder la esperanza	give up
dejar	give up
siga	go ahead
marcharse	go away
bajar	go down
salir	go out
subir	go up
esperar	hang on, hold on
colgar (el teléfono)	hang up (the phone)
mantenerse	keep up with
derribar	knock down
olvidar	leave behind
dejar entrar	let in
cuidar	look after
buscar	look for
esperar con ilusión	look forward to
ojo	look out
buscar algo en un libro	  look up in a book
meter	put in
encender	put on
ponerse (la ropa)	put on (clothes)
quedars sin algo	run out of
ponerse en camino	set off
parecerse a	take after
despegar	take off
quitarse la ropa	take off
sacar	take out
tirar	throw away 
bajar el volumen	turn down
poner el volumen más fuerte	turn up
encender (los luces)	turn on (the lights)
